web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583621146-4867","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@e3lam_alula","إدارة تعليم العلا","فيديو / شرح آلية تطبيق التعديل على لائحة تقويم الطالب والمذكرة التفسيرية
@moe_gov_sa 
#الملف_الإعلامي_بوزارة_التعليمpic.twitter.com/JACv4FYndY","","28","20","1574666679000","11:24 PM - 24 Nov 2019","/e3lam_alula/status/1198865064058638337"
"1583621146-4744","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#فيديو |
اللقاء الثالث لمعالي #وزير_التعليم مع مديري إدارات التعليم لمناقشة الاختبارات الدولية والتحصيلية بمشاركة هيئة تقويم التعليم والتدريبpic.twitter.com/8rSzfO3hYO","134","1.1K","699","1575302517000","8:01 AM - 2 Dec 2019","/moe_gov_sa/status/1201531959513620480"
"1583621146-5140","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@abu_zaid1121","ابـو زيـد","I wish win to us i next match","","","","1573143351000","8:15 AM - 7 Nov 2019","/abu_zaid1121/status/1192475762290548737"
"1583621146-4330","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@guriatedu_gov","إدارة تعليم القريات","رئيسة الإشراف الفندي تنفذ جولات داعمة للمدارس أثناء #الاختبارات #تعليم_القريات
@moe_gov_sa
@Media_M_E @DR_M_Althobait
https://edu.moe.gov.sa/Quriat/MediaCenter/News/Pages/q1250.aspx …pic.twitter.com/f3KnrGCCeJ","","21","6","1577368551000","5:55 AM - 26 Dec 2019","/guriatedu_gov/status/1210197534376939520"
"1583621146-5210","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@guriatedu_gov","إدارة تعليم القريات","الدكتور الثبيتي يتلقى شكر من مدير عام الموهوبين بالوزارة
 #تعليم_القريات
@moe_gov_sa @Media_M_E @DR_M_Althobait
https://edu.moe.gov.sa/Quriat/MediaCenter/News/Pages/q1138.aspx …pic.twitter.com/vuJK77wrEB","1","33","17","1572790135000","6:08 AM - 3 Nov 2019","/guriatedu_gov/status/1190994268497883136"
"1583621146-4458","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@namasedu","إدارة تعليم النماص","أسرة تعليم النماص تبارك لسعادة مدير التعليم الأستاذ / عمر بن هجاد الغامدي ثقة معالي وزير التعليم بتكليفه مديراَ للتعليم بمحافظة النماص متمنين له التوفيق والسداد .
@namasedu
@minister_moe_sa
@spokesp_moe
@moe_gov_sa 
@Media_M_Epic.twitter.com/FXMA0NRbWO","13","58","73","1576774678000","","/namasedu/status/1207706651517689859"
"1583621146-4989","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@eallam1","إدارة تعليم الأحساء","انطلاق الحملة الإعلامية #هويتي_انتمائي بـ #تعليم_الاحساء بالشراكة مع  @ahwalksa @ahwalcare تستهدف طالبات المرحلة الثانوية  @moe_gov_sa pic.twitter.com/DJCXkWEL1R","1","64","24","1573919196000","7:46 AM - 16 Nov 2019","/eallam1/status/1195729890932342784"
"1583621146-4893","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@edueast_sa","إدارة تعليم الشرقية","عُقد لقاءٌ لنشر ثقافة التحول الرقمي، 
وذكرت الجوهرة العكاس مساعد مدير التجهيزات المدرسية:إن منظومة العمل في #تعليم_الشرقية تُشكل نسقاً متكاملا ومنسجما في تعاملاتها لذا بادرت إدارة التجهيزات بعقد عدة لقاءات لشرح طريقة إنشاء الحسابات في (فارس)وآليات عملها.
@moe_gov_sa
@Media_M_Epic.twitter.com/X9x1jCtDAU","2","16","16","1574421744000","3:22 AM - 22 Nov 2019","/edueast_sa/status/1197837729595305984"
"1583621146-5170","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@alfla7_school","متوسطة الفلاح بمكة","حصلت متوسطة الفلاح بمكة المكرمة على الترتيب الأول في اختبارات المراحل في التحصيل الدراسي على مستوى مكتب التعليم الأهلي
@pfemakkah 
@makkah_edu 
@111mkh 
@moe_gov_sa pic.twitter.com/GJa978zbTs","3","20","41","1573036750000","2:39 AM - 6 Nov 2019","/alfla7_school/status/1192028646032203777"
"1583621146-4392","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20since%3A2019-11-01%20until%3A2019-12-31&src=typd&lang=en","@AlshalaanNasser","د.ناصر الشلعان","ماشاء الله ، نبارك لإبنتنا الطالبة لين هذا التميز ، ونهنئ أنفسنا جميعاً بهذا الإنجاز ، اسأل الله أن يحفظها ، ويحفظ لهذا الوطن عزته ومجده في ظل قيادته الحكيمة . 
#تعليم_الشرقية 
@moe_gov_sa https://twitter.com/edueast_sa/status/1208787161270693889 …","8","66","71","1577034337000","9:05 AM - 22 Dec 2019","/AlshalaanNasser/status/1208795742141403136"
