web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583618751-1568","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@jazanedu","إدارة تعليم جازان","مساعد مدير عام  #تعليم_جازان 'بنات' أ.رحاب مسلم توجّه رسالة إلى أبنائها وبناتها طلاب وطالبات مدارس المنطقة .

#الاختبارات_النهائية
@moe_gov_sa pic.twitter.com/Zgqg3SEt6G","10","52","58","1555794111000","2:01 PM - 20 Apr 2019","/jazanedu/status/1119707775649685504"
"1583618751-1809","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@hayaalawad","H.ALAWAD/ هيا العواد","لفتة وفاء جميلة منك أستاذنا الفاضل.. نعم معالي الأستاذة #نورة_الفايز تستحق الثناء والإشادة بجهودها التي ستظل محفورة في ذاكرة تعليم البنات ..","2","14","19","1553937023000","2:10 AM - 30 Mar 2019","/hayaalawad/status/1111918585801261056"
"1583618751-1538","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@confer_global","Confer Global - Exchanging Opinions Globally","The @MOEducationUAE signed a MoU, with the @moe_gov_sa #SaudiArabia, to develop the #digital #education system.

#kingdomdigitrans #saudivision2030 #digitaltransformation #artificialintelligence #innovation #cybersecurity #ai #iot #data #internetofthings #drones #datasecuritypic.twitter.com/z74iX5EJyC","","1","","1556013677000","3:01 AM - 23 Apr 2019","/confer_global/status/1120628700796440576"
"1583618751-1645","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@ghl6263","غالي الحربي الرياض","#ماذا انتم فاعلون
#شاهد الانحطاط #الأخلاقي و #التطاول
على #امهاتنا 
@KingSalman @MOISaudiArabia 
@ce_pss @bip_ksa @media_ksa 
#ولي_العهد_الأمير_محمد_بن_سلمان 
@moe_gov_sa @see_moonehttps://twitter.com/YassrAl0/status/1118042236099485696 …","34","32","20","1555398140000","12:02 AM - 16 Apr 2019","/ghl6263/status/1118046952514519041"
"1583618751-1679","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@_northf","مكتب تعليم شمال جدة|بنات","pic.twitter.com/u8ULaa7mFs","","54","21","1555098105000","12:41 PM - 12 Apr 2019","/_northf/status/1116788516325871617"
"1583618751-1830","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@TatweerTC","تطوير النقل التعليمي","كيف ضاعفت #وزارة_التعليم أعداد الطلبة المستفيدين من خدمة #النقل_المدرسي ١٠٠ ٪ ؟
http://www.tatweertransit.com/ar/media/news/Pages/ttc2603201901.aspx …
#نوصلهم_لأحلامهم 
@moe_gov_sa pic.twitter.com/QiBbUk9LUT","14","62","52","1553593654000","2:47 AM - 26 Mar 2019","/TatweerTC/status/1110478389125804032"
"1583618751-1689","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@Naelah11","Dr. Naela Almgwishi د. نائلة عبدالعزيز المقوشي","Day 2: Suasion 4: artificial Intelligence & the iGen: the future of Learning & Teaching. Great discussion, sharing experience and exchanging ideas #معرض_ومؤتمر_التعليم_العالي #معرض_التعليم_العالي8  @moe_gov_sa pic.twitter.com/33spLv8TmO","","","","1554979818000","3:50 AM - 11 Apr 2019","/Naelah11/status/1116292384353132545"
"1583618751-2002","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@FIS_alfaris","مدارس الفارس","We’re ready for #TIMSS_KSA #alfarisschool @moe_gov_sa @minister_moe_sa @iea_education #ibworldschool #مدارس_الفارسhttps://twitter.com/Lilyan98880490/status/1105036760667566080 …","","4","7","1552303860000","4:31 AM - 11 Mar 2019","/FIS_alfaris/status/1105068599918686208"
"1583618751-1839","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@IMSIU_edu_sa","جامعة الإمام محمد بن سعود الإسلامية","صاحب المعالي وزير التعليم يرأس اليوم الجلسة الرابعة لمجلس #جامعة_الإمام للعام الجامعي الحالي وبحضور نائب رئيس المجلس معالي مدير الجامعة وكافة أعضاء وعضوات المجلس
@moe_gov_sa 
@mohe_sapic.twitter.com/LIPc442W7B","7","48","52","1553512739000","4:18 AM - 25 Mar 2019","/IMSIU_edu_sa/status/1110139006661070850"
"1583618751-1846","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-03-01%20until%3A2019-04-30&src=typd&lang=en","@RifaiTasneem","Tasneem Al_Rifai","Thank you","","","","1553448891000","10:34 AM - 24 Mar 2019","/RifaiTasneem/status/1109871211402723328"
