web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583861089-6264","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@abdullahtv15","Abdullahtv15","FUCK YAAAAAAA","","","","1583693028000","11:43 AM - 8 Mar 2020","/abdullahtv15/status/1236724313363021826"
"1583861089-6438","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@schooltarut","المتوسطة الاولى بتاروت عضوية الملف الاعلامي 7299","تفعيل الإذاعة المدرسية بادوات السلامة المدرسية 
@moe_gov_sa 
@edueast_sa 
@Qatif_edu_81 
@Media_M_Epic.twitter.com/iEGtemcoNn","","1","7","1583034848000","7:54 PM - 29 Feb 2020","/schooltarut/status/1233963705815175169"
"1583861089-6426","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@qunedu","تعليم القنفذة","تنطلق بمشيئة الله اليوم الأحد الموافق  ٦رجب ١٤٤١ هجري  فعاليات《اليوم العالمي للدفاع المدني 》 في مدارس #تعليم_القنفذة خلال الفترة من٦- ١٠ / ٧/ ١٤٤١هجري تحت شعار ""السلامة أولًا ""
#تعليم_القنفذة 
#انتماء_تعليم_القنفذه
@moe_gov_sa 
@Media_M_Epic.twitter.com/yBXa3vGu6h","","41","45","1583045626000","10:53 PM - 29 Feb 2020","/qunedu/status/1234008915567939584"
"1583861089-6291","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@arabnews","Arab News","#BREAKING: Saudi Arabia's Education Minister Hamad bin Mohammed Al-Asheikh says they are conducting daily and weekly evaluations before returning to school #coronavirus 
@moe_gov_sa 

https://arab.news/8vjnf pic.twitter.com/Myx4tCibUx","1","6","20","1583694823000","12:13 PM - 8 Mar 2020","/arabnews/status/1236731845204684801"
"1583861089-6363","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@scknX7qgHGZKc0f","ام يزن","#اصوات_كليات_التربيه_تنادي حدثوني عن الظلم احدثكم عن خريجات كلية التربية
ومايعانيه من التجاهل والتهميش 
رغم اصرارهم وعزيمتهم 
انصفونا وارفعو الظلم عنا
فنحن نستحق الامان الوظيفي
@Badermasaker 
@minister_moe_sa 
@kbsalsaud 
@KingSalman 
@sattam_al_saud 
@MOFKSA 
@moe_gov_sa","","42","8","1583336686000","7:44 AM - 4 Mar 2020","/scknX7qgHGZKc0f/status/1235229707530104841"
"1583861089-6486","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@1394Aidel","عادل الزهراني","مميزين ومبدعين كعادتكم برامج وفعاليات نوعية ومشاركات مميزة بوركت الجهود","","","","1583058935000","2:35 AM - 1 Mar 2020","/1394Aidel/status/1234064735965978624"
"1583861089-6257","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#وزارة_التعليم تتيح للطلاب والطالبات التعليم عن بُعد عبر منصة المدرسة الافتراضية (http://vschool.sa/ )، بشكل متزامن كبديل لإتمام العمليات التعليمية. 
ومن خلال (قناة عين) بشكل غير متزامن؛ التي تبث على تردد عربسات 12437 عمودي من خلال 14 قناة تعليمية.
https://youtube.com/dorosien pic.twitter.com/FajD8GYtlS","533","3.6K","3.9K","1583613915000","12:45 PM - 7 Mar 2020","/moe_gov_sa/status/1236392492775415815"
"1583861089-6413","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@nbmTEnYwhTfOYtr","متوسط-ثانوي ابوجلال بنات","@moe_gov_sa.                                                     @dwadmisa.                                                    @nefi_edu                                                                                                             الملف_الإعلامي_بوزارة_التعليم_1440pic.twitter.com/VploZTY3W0","1","","","1583132872000","11:07 PM - 1 Mar 2020","/nbmTEnYwhTfOYtr/status/1234374848899624960"
"1583861089-6454","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@b_10_q","الابتدائية العاشرة بالقطيف 7298","بعنوان (الابتدائية العاشرة تمشي)
الرياضة للجميع تفعيل المشي صباحاً
الإرشاد الصحي/
صديقه الهاشم
قائدة المدرسة /اشواق الخنيزي
⁦@Media_M_E⁩ 
⁦@edueast_sa⁩ 
⁦@Qatif_edu_81⁩ 
⁦@moe_gov_sa pic.twitter.com/sh8ZAIH0KN","","","5","1583041728000","9:48 PM - 29 Feb 2020","/b_10_q/status/1233992566087049216"
"1583861089-6270","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2020-03-01%20until%3A2020-03-10&src=typd&lang=en","@DeAfrigas","ℍ𝕒𝕗𝕚𝕕𝕙 Afrigas 𝑳𝒂 𝒎𝒆𝒓𝒗𝒆𝒊𝒍𝒍𝒆","We are next hhhh","3","","","1583635682000","6:48 PM - 7 Mar 2020","/DeAfrigas/status/1236483789804777472"
