web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583620629-3885","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@schoolkalharas","‏﮼ثانوية،الحرس 💚","#حب_الوطن 
#اليوم_الوطني_السعودي_89

الوطن : عشق لاينتهي لا يمكن أن تصفه الكلمات أو العبارات... الوطن:حب ، انتماء ، ولاء، امانه
@Media_M_E @TaifEduGov @moe_gov_sa pic.twitter.com/dRP8T3aPJN","","1","16","1568807927000","","/schoolkalharas/status/1174291675587461120"
"1583620629-4102","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@namasedu","إدارة تعليم النماص","في خطوة مميزة من خطوات التحول الرقمي #بتعليم_النماص
سعادة مديرالتعليم يدشن بوابةالتدريب والتي تتيح للمدرب والمتدرب تسجيل البرامج وطباعة الشهادات واختيار القاعات.
يأتي هذا المشروع بالشراكةبين قسمي تقنية المعلومات والتدريب التربوي
@spokesp_moe
@namasedu
@moe_gov_sa
@Media_M_Epic.twitter.com/skCAi1OpzF","2","24","31","1567938408000","3:26 AM - 8 Sep 2019","/namasedu/status/1170644647749804033"
"1583620629-3438","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@Fadil_bin_ayaz","مدرسة الفضيل بن عياض","ريان العتيبي يبدع بريشته بألوان الاكريليك برسم صورة لخادم الحرمين الشريفين الملك سلمان بن عبدالعزيز ال سعود وولي العهد محمد بن سلمان والتي يراها اعرابا منه بالولاء والطاعة لولاة امره.
.
#تعليم_الشرقية 
@Media_M_E 
@moe_gov_sa pic.twitter.com/Sm2TW23gig","1","16","16","1571043139000","1:52 AM - 14 Oct 2019","/Fadil_bin_ayaz/status/1183666834672963584"
"1583620629-4002","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@edueast_sa","إدارة تعليم الشرقية","#معاً_نبدأ 
#العام_الدراسي_الجديد 
في مدارس #الطفولة_المبكرة  وَ في أجواء حانية... المعلمة مع طلابها يعددون أفراد الأسرة بمدرسة التربية والتعليم الأهلية ب #تعليم_الشرقية 
@moe_gov_sa 
@Media_M_Epic.twitter.com/ZZsbSqR8W6","29","142","119","1568291146000","5:25 AM - 12 Sep 2019","/edueast_sa/status/1172124140859514880"
"1583620629-4021","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@eonb373","مكتب التعليم بالنعيرية","#التعليم_الالكتروني
مدرسة الحناه الابتدائية والمتوسطة تطبق التعليم الإلكتروني في جميع الفصول الدراسية بالمدرسة  
@Media_M_E
 @moe_gov_sa pic.twitter.com/aBSnjjDLJQ","16","22","14","1568217845000","9:04 AM - 11 Sep 2019","/eonb373/status/1171816693510918144"
"1583620629-3876","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@edueast_sa","إدارة تعليم الشرقية","#همة_حتى_القمة 
 #تعليم_الشرقية
#همة_التعليم_للوطن_قمة 
#اليوم_الوطني٨٩
#وطن_الشموخ 
@moe_gov_sa
@Media_M_Epic.twitter.com/n4jIWM4MWd","5","19","23","1568883875000","2:04 AM - 19 Sep 2019","/edueast_sa/status/1174610225883734016"
"1583620629-3390","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@guriatedu_gov","إدارة تعليم القريات","د. الثبيتي يعتمد مواعيد الدوام الشتوي #تعليم_القريات
@moe_gov_sa @Media_M_E @DR_M_Althobait
https://edu.moe.gov.sa/Quriat/MediaCenter/News/Pages/q1108.aspx …pic.twitter.com/Wy6ZTo3EhJ","","32","13","1571315449000","5:30 AM - 17 Oct 2019","/guriatedu_gov/status/1184808984169111552"
"1583620629-3685","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@mkathiri70","♏SKathiri70","Teacher #Engagement and Active Participation@ #MIDTESOL2019_Omaha #خبرات3_امريكا_ميزوري @sfalqarni @ssaofmsu @moe_gov_sa @khbratUSA @SACM_USA @khebrat3MSU @S_Meemar  @KMakkah3pic.twitter.com/VYlHMu2hER","","","","1569734928000","10:28 PM - 28 Sep 2019","/mkathiri70/status/1178179800789323776"
"1583620629-3363","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@Amjadqurtopa1","إبتدائيةأمجاد قرطبة بنين","do you want to be a teacher ?? get the full mark in dictation and become the teacher of the day , correct your friends mistakes and help them to improve their spelling .supervised by teacher melek zzatouri
@AQS_School
@qortobhEDU
@nashatkk
@ALNashat_R
@moe_gov_sa
@Media_M_Epic.twitter.com/y0pE4NUFnR","","1","2","1571496457000","7:47 AM - 19 Oct 2019","/Amjadqurtopa1/status/1185568189427716102"
"1583620629-3617","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@amoonalita","مس أمونة","#العلاوه_السنويه97
مطالب المعلمين والمعلمات 
@KingSalman 
@Badermasaker 
@minister_moe_sa 
@moe_gov_sa 
@SaudiMCS 
@spokesp_moe 
@HRCSaudipic.twitter.com/dPqNSbX2SF","","83","40","1570108211000","6:10 AM - 3 Oct 2019","/amoonalita/status/1179745463974662144"
"1583620629-3905","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@OKAZ_online","صحيفة عكاظ","#فيديو| #وزير_التعليم يتفاعل مع «#عكاظ».. استثناء «لولوة» من الاشتراطات وقبولها في إحدى المدارس الأهلية

#عكاظ
#وزير_التعليم_في_عكاظ
@minister_moe_sa
@moe_gov_sa
 http://bit.ly/30oNMnV pic.twitter.com/yC0dOkzOW4","11","18","23","1568672649000","3:24 PM - 16 Sep 2019","/OKAZ_online/status/1173724278291935238"
"1583620629-3715","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@khobarofficeL","مكتب التعليم بالخبر -بنات-","احتفاء منسوبات مكتب التعليم بالخبر باليوم الوطني ٨٩ 
 #همة_التعليم_قمة_للوطن #همة_حتى_القمة  
@moe_gov_sa
@Media_M_Epic.twitter.com/NhpOaLHr7F","3","17","22","1569489642000","2:20 AM - 26 Sep 2019","/khobarofficeL/status/1177150997132693509"
"1583620629-3875","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","وصول هدية المملكة من #الكتب_الدراسية لجيبوتي
https://www.moe.gov.sa/ar/news/Pages/g-1441-547.aspx …pic.twitter.com/0txXD8SOGX","90","417","300","1568886725000","2:52 AM - 19 Sep 2019","/moe_gov_sa/status/1174622180686073857"
"1583620629-3359","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-09-01%20until%3A2019-10-31&src=typd&lang=en","@Godaidnews","صحيفة وادي قديد","مازالت المعاناة مستمرة لمنسوبات مجمع ذات النطاقين من المعلمات والطالبات بسبب سوء المبنى الحالي وقدمه وتأخر جاهزية المبنى الجديد ولسان حالهن يقول :
إلى متى يا @JeddahEducation
#ذات_النطاقين_قديد_تشكي
@moe_gov_sa
@makkahregionpic.twitter.com/CVwQGyZPSB","12","49","36","1571515699000","1:08 PM - 19 Oct 2019","/Godaidnews/status/1185648894199455744"
