web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1583618356-1435","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","أكثر من ٧٢ مبادرة وشركة طلابية في جناح مهارة وريادة في #الجنادرية_33
#التعليم_في_الجنادرية
https://www.moe.gov.sa/ar/news/Pages/m-698542.aspx …pic.twitter.com/dxU0FVrY8R","8","36","42","1546518549000","4:29 AM - 3 Jan 2019","/moe_gov_sa/status/1080803247969972224"
"1583618356-1357","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@wafa_ofi","Wafa Ofi","The training program 4 implementing English Language empirically at lower grades of primary level. 3-4/5/1440 @CEL_initiative_ @moe_gov_sa pic.twitter.com/EMjcAQWcTV","","","3","1547195286000","12:28 AM - 11 Jan 2019","/wafa_ofi/status/1083641689795891200"
"1583618356-1217","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@Public_edu1","وكالة التعليم العام","تطلق وزارة التعليم @moe_gov_sa 
ممثلة في الإدارة العامة للإرشاد بوكالة الأداء التعليمي 
وبالتعاون مع وزارة العمل والتنمية الإجتماعية @MLSD_SA إدارة مكافحة التسول 

حملة التوعية بمخاطر  التسول بدايةً من الأحد 21 / 5 / 1440 هـ ولمدة أسبوع
#معا_ضد_التسولpic.twitter.com/4S5FwUYQCB","34","190","105","1548431349000","7:49 AM - 25 Jan 2019","/Public_edu1/status/1088826112497647616"
"1583618356-1181","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@majdialsubayhi","مجدي الصبيحي","أصدق الدعوات بأن يوفق الله طلابنا وطالباتنا لتحقيق مراكز متقدمة
في التصنيف العالمي بما يحقق تطلعات ولاة الأمر وبما يليق بالمستوى الذي وصل له التعليم في بلادنا الحبيبة 
 #TIMSS_KSA
@moe_gov_sa pic.twitter.com/BELQdAd5Gz","2","4","12","1548527575000","","/majdialsubayhi/status/1089229712864497665"
"1583618356-1188","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@alqassimedu","إدارة تعليم القصيم","ماهي خطة  #الارشاد_التعليمي_المهني ؟
@moe_gov_sa pic.twitter.com/jhRI7wctp0","","5","11","1548523858000","9:30 AM - 26 Jan 2019","/alqassimedu/status/1089214124934995969"
"1583618356-1051","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@sch_wa","إبتدائية آل وليد","حصول استاذة زينه الزيداني على بطاقة التعلم النشط وتم تكريمها من قائدة المدرسة أ.صافيه الشهري
 @Media_M_E @E3lam2030namas @moe_gov_sa @namasedupic.twitter.com/oZAEj51mJv","1","5","9","1549265412000","","/sch_wa/status/1092324429043040257"
"1583618356-1057","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@abdullah15590","عبدالله عبدالعزيز","#تنفيذ_توصيه_كليات_التربيه٥٩٦
منابر عدة سلطت الأضواء على هذه القضية وإلى هذه الساعة لم ترى النور صرخات هنا وهناك  ولا مجيب مطالبات ومناشدات اهملت والسؤال هنا إلى أين تتجه هذه القضية يا وزارة التعليم ومتى يتم إغلاق ملفها نهائياً بتوظيف خريجات البكالوريوس التربوي؟؟! 
@moe_gov_sa","5","109","40","1549234840000","3:00 PM - 3 Feb 2019","/abdullah15590/status/1092196198285484033"
"1583618356-762","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@alain_4u","العين الإخبارية","#فيديو | مبادرات سعودية مبتكرة في معرض #حلول_التعليم بـ #دبي

#الإمارات #السعودية #منتدى_التعليم_2019 #GESSDubai #GESS2019
 @GESSeducation @MOEducationUAE @moe_gov_sa pic.twitter.com/9BNI3X0Atk","3","98","12","1551287401000","9:10 AM - 27 Feb 2019","/alain_4u/status/1100805261634068480"
"1583618356-1127","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@aleshraf_2030","إشراف المخواة -بنين","#يحدث_الان نيابة عن سعادة مدير التعليم دشن سعادة المساعد للشؤون التعليمية برنامج الكاتب الماهر @mak_edu @amamas64 @moe_gov_sa @eduishrafpic.twitter.com/3qtZZeblCr","","15","12","1548663389000","12:16 AM - 28 Jan 2019","/aleshraf_2030/status/1089799359980601344"
"1583618356-835","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@DawriMadaris","دوري المدارس","أجواء إفتتاحية مباريات #دوري_المدارس في #جدة  
مدرسة خالد بن الوليد Vs المعسكر الكشفي  لمسات فنية وتكتيكية، كسرت حاجز البداية 

@gsaksa 
@moe_gov_sa pic.twitter.com/bHJMtOW6BU","19","22","68","1550689082000","10:58 AM - 20 Feb 2019","/DawriMadaris/status/1098295732505853953"
"1583618356-1050","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@sch4mz","﮼الابتدائية،الرابعة،بالمزاحمية","إدارة الابتدائية الرابعة تدعو منسوباتها إداريات،معلمات،طالبات و أولياء الأمور للمشاركة في حملة الحد من ظاهرة التسول عبر وسم 
#معاً_ضد_التسول
مع الاشاره الى الحسابات التالية 
@eallam1 @moe_gov_sa 
@Media_M_E @sch4mz 
لنكن يداً واحد ضد ما يسيء للمجتمع ويشوه صورته .pic.twitter.com/YGMoGWNCJe","2","3","6","1549272181000","1:23 AM - 4 Feb 2019","/sch4mz/status/1092352816805564417"
"1583618356-827","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@dya_bamakhrama","#ضياءالدين_بامخرمة","Thank you so much dear Ghadeer for your kind words. The meeting with His Excellency the minister was successful and very interesting.","","3","2","1550773508000","10:25 AM - 21 Feb 2019","/dya_bamakhrama/status/1098649841780039686"
"1583618356-1451","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","إنفاذاً للأمر الملكي بإعادة تشكيل #مجلس_الوزراء برئاسة #خادم_الحرمين_الشريفين معالي الدكتور #حمد_آل_الشيخ يؤدي القسم بين يدي الملك ويتسلم رسمياً مهام عمله في منصب #وزير_التعليم.
#واسpic.twitter.com/fGnE61ddI9","233","826","618","1546347127000","4:52 AM - 1 Jan 2019","/moe_gov_sa/status/1080084251347951616"
"1583618356-1354","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@no_je_sc","شعبة العلوم شمال جده","نسأل الله التوفيق والسداد،وأن يديم علينا نعمة الدين والوطن ، ويحفظ ولاة أمرنا ويطيل عمر شيخنا المفتي العام ، ويوفق وزير التعليم ويسدد خطاه .","1","17","9","1547203988000","","/no_je_sc/status/1083678189992456192"
"1583618356-1260","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@cadi61642427","كادي","نريدها منك ياولي العهد نعم الأخ ونعم الامير افرح قلوب أخواتك فلقد مللنا الانتظار وطاااال صبرنا بشرنا بها ولَك منا اصدق الدعوات  @kbsalsaud @Badermasaker @moe_gov_sa @KingSalman @minister_moe_sa #الفرحه_لتوصيه_كليات_التربيه","","85","29","1548000576000","8:09 AM - 20 Jan 2019","/cadi61642427/status/1087019321262403584"
"1583618356-1218","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@e3lam_trbwe","الإعلام والاتصال_القريات","#تعليم_القريات
الإدارات التي وصلت نسبة إنجاز ١٠٠٪ في تحديث البيانات على مستوى( إدارة - مدرسة) ومن بينها #القريات
@guriatedu_gov @moe_gov_sa @DR_M_Althobait @Quriat_teachers @minister_moe_sa @YYehyagpic.twitter.com/CmDCdx9H4o","5","43","44","1548429050000","7:10 AM - 25 Jan 2019","/e3lam_trbwe/status/1088816472011476994"
"1583618356-1330","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@abuebrahem635","محسن علي السُّهيمي","وزير التعليم يصرح: ""لا نريد حفلات أو برامج لا تدعم حصيلة الطالب التعليمية والمعرفية.. سوف نهتم بما هو داخل الصف."".. حبذا التعجيل بهذا التحوُّل.
@minister_moe_sa 
@moe_gov_sa 
 #التطلعات_المستقبلية_للتعليمhttps://www.al-madina.com/article/594896","1","5","7","1547292795000","3:33 AM - 12 Jan 2019","/abuebrahem635/status/1084050670129463297"
"1583618356-1450","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","بعد تأديته القسم اليوم بين يدي الملك ..
الدكتور #حمد_آل_الشيخ الوزير الحادي عشر للتعليم في المملكة العربية السعودية.
https://www.moe.gov.sa/ar/news/Pages/dr-h1440.aspx …pic.twitter.com/BnG57QWRUt","307","980","708","1546347659000","5:00 AM - 1 Jan 2019","/moe_gov_sa/status/1080086484483563525"
"1583618356-1074","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#وزير_التعليم يرعى أعمال الورشة المتخصصة في التعريف بدراسات الاتجاهات الدولية في العلوم والرياضيات #TIMSS_KSA 2019 الإثنين القادم في الرياض بمشاركة أكثر من ٢٠٠ مشرف ومشرفة و٩٠ منسق ومنسقة يمثلون إدارات التعليم.pic.twitter.com/in9WEZNTo4","117","475","357","1549101381000","1:56 AM - 2 Feb 2019","/moe_gov_sa/status/1091636432626700288"
"1583618356-1109","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","بمشاركة 2800 طالباً من 10 إدارات تعليمية #كشافة_وزارة_التعليم تشارك في تنفيذ الدراسة التربوية الكشفية العالمية التي ينظمها المكتب الكشفي العالمي بكوالالمبور لتقييم الأثر الكشفي.pic.twitter.com/XeC7XbDL7B","57","213","186","1548776944000","7:49 AM - 29 Jan 2019","/moe_gov_sa/status/1090275643852414977"
"1583618356-804","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","#وزارة_التعليم تشارك في المعرض العالمي لمستلزمات وحلول التعليم بدبي
https://www.moe.gov.sa/ar/news/Pages/d-e-2019.aspx …pic.twitter.com/0b89KNCJK6","519","1.1K","936","1551038000000","11:53 AM - 24 Feb 2019","/moe_gov_sa/status/1099759201461682176"
"1583618356-1362","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@qudorat_bandar","حل مسائل القدرات","Welcome","","","","1547146791000","10:59 AM - 10 Jan 2019","/qudorat_bandar/status/1083438284649451521"
"1583618356-1269","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@qortobhEDU","مكتب التعليم بقرطبة","@moe_gov_sa 
@riyadh_edupic.twitter.com/tYJfWgnycW","1","35","6","1547912211000","7:36 AM - 19 Jan 2019","/qortobhEDU/status/1086648692592046080"
"1583618356-1309","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@Fefenuo","فيصل الحبابي","@moe_gov_sa can we have art classes ? pic.twitter.com/o3xS8tTzUh","","","1","1547367608000","12:20 AM - 13 Jan 2019","/Fefenuo/status/1084364458670084096"
"1583618356-1426","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@moe_gov_sa","وزارة التعليم - عام","فعاليات ومسابقات وجوائز يومية في ركن التحول الرقمي بجناح #وزارة_التعليم في #الجنادرية_33.
#التعليم_في_الجنادريةpic.twitter.com/6eACqVN0GX","10","42","44","1546619710000","8:35 AM - 4 Jan 2019","/moe_gov_sa/status/1081227548221161474"
"1583618356-1065","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@Ss22171506","قسم التوجيه والارشاد بنات بالقريات","اللقاء السنوي لقسم التوجيه والارشادالطلابي بعنوان ( الارشاد ارتقاء) للمرشدات الطلابيه لجميع المراحل لهذا اليوم الاحد 1440/5/28هـ
@e3lam_trbwe 
@guriatedu_gov 
@moe_gov_sa 
@jf16652313 pic.twitter.com/xsa97mEgdd","1","8","6","1549181004000","12:03 AM - 3 Feb 2019","/Ss22171506/status/1091970393647263744"
"1583618356-1389","https://twitter.com/search?l=&q=%40moe_gov_sa%20%22%40moe_gov_sa%22%20%40moe_gov_sa%20since%3A2019-01-01%20until%3A2019-02-28&src=typd&lang=en","@R_M_S_____","💛رازق البــجالي ‏ 💙MBS 🇸🇦","#ماتحتاجه_قرية_مبشع
إحدى قرى شرق محافظة الليث تتوسط المراكز الادارية بقرى شرق الليث بموقعها المتميز أعتمدلها دفاع مدني ومخفر شرطة وبحاجه إلى مركز للهلال الاحمرومكتب أشراف تعليمي وفتح مدارس بها ومكتب بلدية
@saudimomra 
@ghamiqa 
@moe_gov_sa
@allithmedia 
@mediasrca
@SaudiDCD","2","58","6","1546929236000","10:33 PM - 7 Jan 2019","/R_M_S_____/status/1082525792926646272"
